CO_NCM;NO_NCM_ING
85499100;Other electrical and electronic waste and scrap, containing cells, primary batteries or accumulators, electrical, mercury switches, cathode tube glass or other activated glass, or electrical or electronic components containing cadmium, mercury, lead or polychlorobiphenyls (PCB)
44125900;Other plywood, veneered panels and similar laminated wood, with a particle board, glued or laminated core, with both outer layers of coniferous wood
85492900;Other waste and scrap of a kind used principally for the recovery of precious metals, not classified under previous codes
7095300;Mushrooms of the genus Cantharellus
44014900;Other sawdust, wood waste and scrap, not agglomerated, not elsewhere classified under previous codes
90229020;X-ray screens,f/x-rays apparatus/other radiations
84798300;Cold isostatic presses
70169000;Paving blocks, etc.of pressed/mould.glass, f/building, etc
70171000;Articles of fused quartz/oth.fus.silica, f/laborat.etc
85235200;Smart cards
85235910;Cards and labels of activated for approach
85235990;Other
85238000;Other support. prep./sound record./similar
85239000;Oth.unrecorded media f/sound recording/similar
85239010;Discs f/laser read.syst.which may be record.once(cd-r)
85239090;Oth.prepar.unrecorded media f/sound recording/similar
85241000;Gramophone records, recorded
85243100;Record.disks f/laser reading, of difer.phen.sound/image
93069010;Grenades that contain chemicals or Capsicum oleoresin, for irritating purposes
93069020;Other grenades, which produce smoke, lighting, sound or identification effects using paints or dyes
39233010;Containers for liquefied petroleum gas (LPG)
85393911;Fluorescent tubes with cold cathode or external electrode, for electronic screens with a length not exceeding 500 mm and containing more than 3.5 mg of mercury
90251119;Other clinical thermometers,of liquid,of direct reading
85414121;Light-emitting diodes (led) mounted,f/surf.mount.device
29091920;Sevoflurane
39049010;Chlorinated vinyl polychloride
85075010;Electric accumulator nickel-hydride metallic with a voltage equal to 1.2V, cylindrical type HR6 (AA)
95089049;Other roundabouts,swings and oth.amusements
84807910;Molds for molding rubber/plastic for tire vulcanization
85414122;Oth.light-emitting diodes (led) n/mounted,exc.laser
85414124;Other laser diodes
85414220;Other solar photovoltaic cells not mounted on modules or panels
85414290;Other photovoltaic cells not mounted on modules or panels
85414300;Photovoltaic cells mounted on modules or panels
88069300;Other unmanned aerial vehicles (aircraft) of a maximum take-off weight exceeding 7 kg but not exceeding 25 kg
87149611;Cranksets with one-piece cranks (monobloc)
29034900;Other saturated fluorinated derivatives of acyclic hydrocarbons, not elsewhere classified under previous codes
29096090;Other alcohol peroxides, ether peroxides, acetone and hemiacetal peroxides, ketone peroxides, and their halogenated, sulfonated, nitrated or nitrosated derivatives
30024270;Veterinary vaccines, against diseases newcastle, gum.etc
30024280;Combin.veter.vaccines, against diseas.newcastle, gum.etc
30024290;Other vaccines for veterinary medicine
85299050;Other parts for flat panel display modules, whether or not incorporating touch screen displays
85395100;Light Emitting Diode (LED) modules
85395200;Lamps and light emitting diodes tubes (LED)
85414111;Light-emitting diodes (led) n/mounted,exc.laser
85414112;Laser diodes n/mounted
81123900;Articles and other products of hafnium (celtium)
84622200;Profile forming machines
84858000;Other additive manufacturing machines not classified under previous codes
34024110;Oleylamine acetate (organic surface-active agent)
30024920;Tuberculins
85251022;Fm radium, with output stage, pot>10kw, transmis.appar.
85251029;Other transmission apparatus of radio-broadcasting
85251031;Transmission apparatus of television, frequency>7ghz
85251032;Transmis.appar.of televis., band uhf 2/2.7ghz, 10w<p<100w
85251033;Transmis.appar.of television, band uhf, pot>10kw
85251034;Transmis.appar.of television, band vhf, pot>=20kw
85251039;Other transmission apparatus of television
85252011;Transm.appar./recep.satellite telecom.f/station terres.
85252012;Transm.appar./recep.satellite telecom.f/stations vsat
85394190;Other arc lamps
85394900;Lamps/ultraviolet or infrared tubes of rays
85399010;Electrodes f/lamps/electron.tubes of incandescence,etc
85399020;Bases f/lamps/electron.tubes of incandescence,etc
85399090;Oth.parts f/lamps/electron.tubes of incandescence,etc
85401100;Cathode-ray tubes f/receivers of colour television,etc
85401200;Cathode-ray tubes f/receivers black/white telev.,etc
85402011;Tubes f/cameras of black/white television,etc
85243200;Record.disks f/laser reading, reproducing sound only
85243900;Other recorded disks, for laser reading
85244000;Magnetic tapes recorded, f/reprod.dif.phen.sound/image
85245110;Magnetic tapes recorded, w<=4mm, in cartridges/cassettes
85245190;Other magnetic tapes recorded, w<=4mm
85372090;Outs quadros etc.c/apar interrup circuito eletr t>52kv
87032100;Automobiles with motor explosion,cyl<=1000cm3
87032210;Autom.with motor explosion,1000<cm3<=1500,up to 6 pass
87032290;Autom.with motor explos.1000<cm3<=1500,more than 6 pass
87032310;Autom.with motor explosion,1500<cm3<=3000,up to 6 pass
85424019;Oth.hybr.integ.circuit thick.of layer<=1micron
85424090;Other hybrid integrated circuits
85425000;Electronic microassemblies
85426011;Hybrid integrated circuits,t<=1micron f>=800mh
85426019;Other hybrid integrated circuits,t<=1micron
85426090;Other hybrid integrated circuits
85427000;Electronic microassemblies
85429010;Support-connector in strips,f/integ.circuits,etc.electr
87051030;Truck cranes with a maximum lifting capacity of 100 t or more
85491100;Waste/scrap of electric accumulators of lead,etc.
95083000;Fairground attractions
85493100;Waste and scrap of electrical and electronic assemblies and printed circuit boards containing primary cells, primary batteries or electric accumulators, mercury switches, glass from cathode ray tubes or other activated glass or electrical or electronic components containing cadmium, mercury, lead or polychlorinated biphenyls (PCB)
29036100;Bromomethane
95082500;Waterways
87149920;Threadless steering boxes
85491200;Other waste and scrap of primary cells, primary batteries and electric accumulators, containing lead, cadmium or mercury
89039300;"Other yachts and other vessels for pleasure or sports; rowing boats and canoes, of a length not exceeding 7.5 m"
90278100;Mass spectrometers
90278911;Calorimeters
70196300;Woven fabrics of mechanically bonded glass fibre yarn obtained from closed knit yarns, plain weave, not coated or laminated
38273190;Other preparations containing substances of subheadings 2903.41 to 2903.48, not classified under former codes
24049900;Other products containing nicotine for human body absorption of nicotine, not classified under previous codes
81069000;Other bismuth and articles thereof, including waste and scrap, not classified under previous codes
84191200;Solar powered water heaters
84193500;Other dryers, for wood, paper pulp, paper or paperboard
84287000;Industrial lifting, loading, unloading or handling robots
95082210;Carousels, whether or not fitted with a lifting device, of a diameter of less than 16 m
97052900;Other collections and collectors' pieces of zoological, botanical, mineralogical, anatomical or paleontological interest
95082120;Roller coaster cars with a capacity of 6 people or more
24049100;Other nicotine-containing products intended for the absorption of nicotine by the human body, for oral application
97069000;Other Antiques more than 100 years old, not classified under previous codes
30024230;Veterinary vaccines, against keratoconjunctivitis
30024240;Veterinary vaccines, against distemper
30024123;Vaccines against hepatitis b, in doses
36034000;Primers
85372000;Boards,etc.with elect.circuit switches appar.t>1kv
85372010;"Substacoes isoladas a gas(""gis"" ou ""his""),p/tensao>52kv"
86072100;Brakes and parts thereof of vehicles f/railway
86072900;Other brakes and parts thereof,of vehicles f/railway
86073000;Hooks,buffers,etc.of vehicles f/railway
86079100;Othter parts of locomotives
86079900;Other parts of vehicles f/railway
86080011;Signalling mechanical apparatus f/railway,etc.
86080012;Signalling electro-mechanical apparatus f/railway,etc.
86080090;Fixed material of railway/similar and its parts
86090000;Containers includ.the transport of fluids,etc.
87011000;Pedestrian-controlled tractors
87012000;Road tractors for semi-trailer
87013000;Track-laying tractors
87019000;Other tractors
87019010;Log-skidding tractors
87019090;Other tractors
87021000;Motor vehicles f/transp.>=10 persons,with diesel engine
87029010;Trolleybuses for the transport >= 10 person
85429020;Coverings f/making capsules,f/integ.circuits,etc.electr
85429090;Oth.parts f/integ.circuits and electr.microassemblies
85431000;Particle accelerators
85431100;Ion implanters for doping semiconductor materials
15109000;Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09, not classified under previous codes
85258911;Other television cameras with three or more image pickups
